loc_rowid,pl_orbsmax,pl_rade,st_rad,st_lum
40,156.0,16.141,0.28,-2.23
111,0.01583,2.173,0.96,-0.197
116,0.01544,1.92,0.96,-0.197
118,0.01544,1.91,0.96,-0.197
163,0.066,4.203,0.75,-1.046
164,0.0649,3.957,0.74,-1.038
170,0.1108,2.522,0.74,-1.038
186,0.241,2.23,0.93,-0.056
193,1662.0,14.684,0.8,0.356
218,200.0,20.849,0.24,-2.85
221,7506.0,12.442,0.39,-1.732
239,0.0392,15.065,1.05,0.07
259,0.0288,12.846,0.88,-0.17
266,0.0518,14.46,1.65,0.544
282,0.0891,11.209,1.16,0.17
324,0.0495,14.079,1.11,0.18
346,0.0636,6.938,0.8,-0.4
352,0.071,6.389,0.79,-0.155
381,0.0296,0.908,0.66,-0.364
482,0.07229,11.781,1.59,0.526
494,0.0385,2.025,0.31,-1.971
503,0.0153,1.13,0.21,-2.359
516,0.01505,2.733,0.22,-2.409
518,0.0149,2.742,0.21,-2.337
534,0.00916,1.193,0.39,-1.708
541,0.1915,2.61,0.69,-0.686
572,0.03165,2.13,0.52,-1.342
600,0.0348,4.2,0.5,-1.538
610,0.01589,1.264,0.36,-1.824
616,0.035,1.217,0.34,-1.798
624,0.0071,0.718,0.46,-1.541
625,0.00709,0.699,0.46,-1.539
630,0.02569,1.15,0.32,-1.937
631,0.0252,1.09,0.32,-1.963
643,0.2324,2.63,0.68,-0.924
644,1.4,8.4,0.68,-0.924
666,0.02872,4.222,0.46,-1.585
682,0.01734,1.305,0.33,-1.917
745,0.01406,1.331,0.41,-1.585
823,0.0338,16.477,1.56,0.727
848,0.0551,15.244,1.15,0.18
853,0.0553,13.922,1.14,0.17
871,0.053,4.73,0.75,-0.585
889,0.0384,10.749,0.7,-0.678
890,0.0427,14.359,1.56,0.346
908,0.0596,13.451,1.53,0.592
910,0.0606,12.89,1.47,0.563
920,0.0964,12.016,1.08,0.0
926,0.0413,14.448,1.24,0.294
937,0.0882,11.321,0.84,-0.319
953,0.0559,11.153,0.75,-0.569
959,0.0466,12.689,0.82,-0.432
966,0.04599,11.299,0.77,-0.485
967,0.06878,12.969,1.64,0.577
968,0.0677,11.007,1.47,0.485
977,0.0679,11.243,1.51,0.505
991,0.0361,9.718,0.69,-0.721
997,0.0494,11.478,1.1,0.025
1006,0.0414,12.106,1.04,-0.114
1022,0.0232,15.334,1.2,0.199
1026,0.0465,13.922,1.32,0.408
1036,0.0466,13.339,0.96,-0.125
1040,0.0466,12.722,0.92,-0.152
1045,0.0479,6.333,0.79,-0.42
1051,0.0403,11.635,0.9,-0.244
1054,0.04,11.43,0.86,-0.269
1059,0.0434,13.585,1.1,0.053
1065,0.0665,11.926,1.24,0.283
1066,0.0667,12.408,1.22,0.265
